SST,Current Speed,Current Direction,Wind Speed,Wind Direction,Presence,April,August,December,February,January,July,June,March,May,November,October,September
21.91488408,0.082795267,331.2602047,2.035892853,11.58457747,0,1,0,0,0,0,0,0,0,0,0,0,0
21.93044852,0.015997152,150.524111,2.133946175,189.1741496,0,1,0,0,0,0,0,0,0,0,0,0,0
21.88375521,0.011719266,201.2505055,1.728960902,182.1574376,0,1,0,0,0,0,0,0,0,0,0,0,0
22.08609292,0.035154396,351.6625556,1.110966448,190.9795769,0,1,0,0,0,0,0,0,0,0,0,0,0
22.02383516,0.111942355,342.9189781,1.457885202,355.4468309,0,1,0,0,0,0,0,0,0,0,0,0,0
22.04718182,0.077770019,180,2.536308209,190.4471019,0,1,0,0,0,0,0,0,0,0,0,0,0
21.74367525,0.233673942,185.1884149,2.449069836,168.4825853,0,1,0,0,0,0,0,0,0,0,0,0,0
21.51020865,0.082265946,189.6299513,1.710344996,141.3350487,0,1,0,0,0,0,0,0,0,0,0,0,0
21.44016867,0.106094006,336.3706223,1.783102339,11.79780857,0,1,0,0,0,0,0,0,0,0,0,0,0
21.55690197,0.137085547,345.9348922,1.910368451,12.53021364,0,1,0,0,0,0,0,0,0,0,0,0,0
21.62694195,0.162391044,341.5336906,1.929925756,13.0468411,0,1,0,0,0,0,0,0,0,0,0,0,0
21.58803085,0.078747645,275.9866641,1.932335535,355.9161833,0,0,0,0,0,0,0,0,0,1,0,0,0
21.30787093,0.165530636,208.7810054,1.690535572,289.3263695,0,0,0,0,0,0,0,0,0,1,0,0,0
20.9031955,0.171072017,206.9422674,1.961266312,305.3772415,0,0,0,0,0,0,0,0,0,1,0,0,0
21.16000875,0.156037448,196.6992442,1.272932838,228.6748752,0,0,0,0,0,0,0,0,0,1,0,0,0
21.16000875,0.16898426,196.9630686,1.367766666,349.6449921,0,0,0,0,0,0,0,0,0,1,0,0,0
21.19891985,0.081408044,190.7842979,1.130219206,3.489758098,0,0,0,0,0,0,0,0,0,1,0,0,0
21.36234647,0.033083535,11.51383118,1.385652234,15.05647143,0,0,0,0,0,0,0,0,0,1,0,0,0
21.33121759,0.028878337,359.4031905,1.307329738,355.0410456,0,0,0,0,0,0,0,0,0,1,0,0,0
21.30008871,0.150200631,0.755267845,2.301399698,349.3053923,0,0,0,0,0,0,0,0,0,1,0,0,0
21.04327546,0.069432245,220.1792339,2.255503716,268.0428187,0,0,0,0,0,0,0,0,0,1,0,0,0
20.62303558,0.219797682,200.1897302,2.040526306,272.3966142,0,0,0,0,0,0,0,0,0,1,0,0,0
20.71642222,0.266977009,194.6737609,1.749470576,279.2248495,0,0,0,0,0,0,0,0,0,1,0,0,0
21.16000875,0.17047309,193.5798949,1.764306794,341.009083,0,0,0,0,0,0,0,0,0,1,0,0,0
21.30008871,0.121063831,195.684114,1.261492272,278.3427249,0,0,0,0,0,0,0,0,0,1,0,0,0
21.65028861,0.028498958,190.9540626,1.761865663,350.83519,0,0,0,0,0,0,0,0,0,1,0,0,0
21.58803085,0.140012154,191.2414788,1.668883596,251.1596374,0,0,0,0,0,0,0,0,0,1,0,0,0
21.47129755,0.069278578,195.0413295,1.910281388,266.5886266,0,0,0,0,0,0,0,0,0,1,0,0,0
21.22226651,0.142745477,205.4437467,2.037412647,256.959279,0,0,0,0,0,0,0,0,0,1,0,0,0
21.07440433,0.080105173,197.2414594,1.298340219,184.5147233,0,0,0,0,0,0,0,0,0,1,0,0,0
21.04327546,0.117345973,193.320935,1.092478341,354.948725,0,0,0,0,0,0,0,0,0,1,0,0,0
22.07052848,0.176600389,10.65302174,1.816278129,352.6629178,0,0,0,0,0,0,0,0,0,1,0,0,0
21.89153743,0.130760791,13.00399878,2.441653086,253.9041911,0,0,0,0,0,0,0,0,0,1,0,0,0
21.72032859,0.068126202,22.12380999,2.286813443,246.4469432,0,0,0,0,0,0,0,0,0,1,0,0,0
21.45573311,0.131402406,17.84429161,1.59038838,322.5723295,0,0,0,0,0,0,0,0,0,1,0,0,0
