Presence,Month,Beach,SST,Curr_Speed,Curr_Dir,WD_Speed,WD_Dir
0,May,Maroubra ,20.62303558,0.245824652,200.1897302,6.694657881,272.3966142
0,May,Maroubra ,20.71642222,0.30601042,194.6737609,4.751556855,279.2248495
0,May,Maroubra ,21.16000875,0.18586574,193.5798949,4.837524351,341.009083
0,May,Maroubra ,21.30008871,0.128696956,195.684114,2.530686304,278.3427249
0,May,Maroubra ,21.65028861,0.028908939,190.9540626,4.823291564,350.83519
0,May,Maroubra ,21.58803085,0.150287779,191.2414788,4.306240582,251.1596374
0,May,Maroubra ,21.47129755,0.071734729,195.0413295,5.754989302,266.5886266
0,May,Maroubra ,21.22226651,0.153436188,205.4437467,6.670736596,256.959279
0,May,Maroubra ,21.07440433,0.083401006,197.2414594,2.663211491,184.5147233
0,May,Maroubra ,21.04327546,0.124508412,193.320935,1.981654481,354.948725
0,May,Maroubra ,22.07052848,0.1931542,10.65302174,5.148930286,352.6629178
0,May,Maroubra ,21.89153743,0.139695123,13.00399878,10.49202235,253.9041911
0,May,Maroubra ,21.72032859,0.070500399,22.12380999,8.843520714,246.4469432
0,May,Maroubra ,21.45573311,0.140426603,17.84429161,3.905653817,322.5723295
0,May,Maroubra ,21.22226651,0.302098253,12.07050147,7.665645034,291.2212784
0,May,Maroubra ,21.30787093,0.136468251,9.525516057,10.25295416,259.6847405
0,May,Maroubra ,21.74367525,0.333443871,18.84952755,6.4881553,251.1977989
0,May,Maroubra ,21.74367525,0.329077565,23.21254467,5.468788752,215.6011107
0,Jun,Maroubra ,21.81371523,0.429000045,19.01497627,2.050587788,155.583144
0,Jun,Maroubra ,21.59581307,0.425106076,17.29022636,2.763022061,179.9459983
0,Jun,Maroubra ,21.58024863,0.417630609,20.71285846,4.98914906,184.0707016
0,Jun,Maroubra ,21.79036857,0.51446097,19.40232784,5.080245618,62.44322594
0,Jun,Maroubra ,21.53355531,0.713883517,21.12368061,15.96753504,65.93267026
0,Jun,Maroubra ,21.43238645,0.537324273,20.51414843,2.622984178,62.56957112
0,Jun,Maroubra ,21.85262633,0.376813137,13.01200761,8.843513237,264.72003
0,Jun,Maroubra ,21.63472417,0.297343953,14.5639716,6.762241394,275.7797525
0,Jun,Maroubra ,21.62694195,0.390711779,16.42489874,6.724287376,325.2851992
0,Jun,Maroubra ,21.52577309,0.40298591,12.7311823,7.547290595,292.7339211
0,Jun,Maroubra ,21.08996877,0.41602113,17.37157619,7.884833653,264.5323078
0,Jun,Maroubra ,20.8253733,0.246212508,19.17609162,8.304776102,219.6054381
0,Jun,Maroubra ,21.16000875,0.32368113,19.78464441,3.138344176,213.2351394
0,Jun,Maroubra ,20.87984884,0.405823315,18.09431205,3.578811276,324.9106368
0,Jun,Maroubra ,20.9031955,0.468257177,18.50580095,2.823556828,230.7846644
0,Jun,Maroubra ,20.93432438,0.467714553,16.29459952,2.080988876,348.3011732
0,Jun,Maroubra ,20.73198666,0.505512648,13.29795828,8.068705744,348.3908708
